Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2,ConversionUSD
United States,Male,56,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Mathematics or statistics,250000,USD,Operations Research Practitioner,Poorly,Python,Yes,100% of projects,10 - Highly Satisfied,10,1
Russia,Male,33,Employed full-time,Internet-based,Bachelor's degree,Other,1200000,RUB,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,7,7,0.0172
Taiwan,Male,26,Employed full-time,Financial,Master's degree,Computer Science,1100000,TWD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,5,5,0.0329
United States,Male,25,Employed part-time,Academic,Bachelor's degree,Physics,20000,USD,Researcher,Fine,Python,Yes,76-99% of projects,6,6,1
United States,Male,33,Employed full-time,Telecommunications,Doctoral degree,Electrical Engineering,100000,USD,Scientist/Researcher,Perfectly,Matlab,No,Less than 10% of projects,7,7,1
Russia,Male,22,Employed full-time,Mix of fields,Bachelor's degree,"Information technology, networking, or system administration",624000,RUB,Data Analyst,Fine,Python,Yes,26-50% of projects,8,8,0.0172
Poland,Male,29,Employed full-time,Pharmaceutical,Master's degree,Computer Science,126000,PLN,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,9,9,0.2656
United States,Male,35,Employed full-time,Technology,Doctoral degree,Physics,133000,USD,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8,8,1
Sweden,Male,37,Employed full-time,Technology,Master's degree,Electrical Engineering,80000,USD,Machine Learning Engineer,Perfectly,Python,Yes,100% of projects,9,9,1
Iran,Male,31,Employed part-time,Technology,Doctoral degree,Computer Science,15000,USD,Scientist/Researcher,Fine,Python,Yes,Less than 10% of projects,6,6,1
United States,Male,40,Employed full-time,Technology,Doctoral degree,Physics,215000,USD,Scientist/Researcher,Perfectly,Python,Yes,Less than 10% of projects,8,8,1
Germany,Male,44,Employed full-time,Internet-based,Master's degree,A humanities discipline,65000,EUR,Other,Fine,Python,No,76-99% of projects,7,7,1.1304
United States,Female,31,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),83500,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,7,7,1
United States,Female,39,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),115000,USD,Predictive Modeler,Fine,R,Yes,10-25% of projects,10 - Highly Satisfied,10,1
United States,Male,50,Employed full-time,Insurance,Doctoral degree,Mathematics or statistics,135000,USD,Predictive Modeler,Perfectly,R,Yes,76-99% of projects,8,8,1
Brazil,Male,25,Employed full-time,Academic,Master's degree,Computer Science,1500,BRL,Computer Scientist,Perfectly,Python,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied,10,0.3134
Brazil,Male,32,Employed full-time,Academic,Master's degree,Computer Science,25000,BRL,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10,0.3134
Brazil,Male,38,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",60000,BRL,Programmer,Fine,Python,Sort of (Explain more),26-50% of projects,6,6,0.3134
Russia,Male,31,"Independent contractor, freelancer, or self-employed",CRM/Marketing,Some college/university study without earning a bachelor's degree,Computer Science,840000,RUB,Business Analyst,Fine,R,Sort of (Explain more),None,5,5,0.0172
United Kingdom,Female,31,Employed full-time,Government,Doctoral degree,A social science,29000,GBP,Data Analyst,Poorly,SQL,Sort of (Explain more),51-75% of projects,7,7,1.289
United Kingdom,Male,30,Employed full-time,Technology,Bachelor's degree,A social science,45000,GBP,Data Analyst,Poorly,SQL,Yes,76-99% of projects,7,7,1.289
United States,Male,62,"Independent contractor, freelancer, or self-employed",Non-profit,Master's degree,Other,65000,USD,Programmer,Fine,Python,Sort of (Explain more),76-99% of projects,5,5,1
France,Male,26,Employed full-time,Government,Master's degree,A health science,25000,EUR,Scientist/Researcher,Poorly,R,No,100% of projects,10 - Highly Satisfied,10,1.1304
Canada,A different identity,23,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,85000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,8,8,1
India,Male,23,Employed full-time,Technology,Master's degree,Computer Science,360000,INR,Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,10 - Highly Satisfied,10,0.0154
United States,Female,31,Employed full-time,Insurance,Master's degree,Other,92000,USD,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),76-99% of projects,6,6,1
United States,Male,50,Employed full-time,Financial,Doctoral degree,Physics,305000,USD,Scientist/Researcher,Perfectly,Python,Yes,Less than 10% of projects,9,9,1
Netherlands,Male,26,Employed full-time,Financial,Master's degree,"Information technology, networking, or system administration",35000,EUR,Business Analyst,Poorly,Python,Yes,76-99% of projects,8,8,1.1304
United States,Male,52,"Independent contractor, freelancer, or self-employed",Other,Master's degree,Biology,140000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,7,7,1
Belarus,Male,31,Employed full-time,Mix of fields,Master's degree,Other,25000,USD,Programmer,Fine,Python,No,10-25% of projects,6,6,1
United States,Female,28,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,80000,USD,Engineer,Perfectly,Python,Yes,100% of projects,3,3,1
France,Male,30,Employed full-time,Pharmaceutical,Doctoral degree,Biology,33000,EUR,Other,Fine,Python,Sort of (Explain more),76-99% of projects,5,5,1.1304
United States,Male,26,Employed full-time,CRM/Marketing,Bachelor's degree,Mathematics or statistics,85000,USD,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,3,3,1
United Kingdom,Male,23,Employed full-time,Insurance,Master's degree,Other,42500,GBP,Data Analyst,Fine,Python,Yes,76-99% of projects,7,7,1.289
United States,Male,26,Employed full-time,Manufacturing,Master's degree,Other,80000,USD,Other,Poorly,R,Sort of (Explain more),Less than 10% of projects,5,5,1
Canada,Male,52,Employed full-time,Academic,Bachelor's degree,Computer Science,90000,USD,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,8,8,1
Japan,Male,48,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,Engineering (non-computer focused),0,JPY,Software Developer/Software Engineer,Fine,Python,Yes,None,10 - Highly Satisfied,10,0.0089
Russia,Male,26,"Independent contractor, freelancer, or self-employed",Military/Security,Bachelor's degree,Computer Science,60000,RUB,Machine Learning Engineer,Poorly,Python,Yes,10-25% of projects,7,7,0.0172
United States,Male,52,Employed full-time,Other,Doctoral degree,Electrical Engineering,170075,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,6,6,1
Australia,Male,38,Employed full-time,Technology,Doctoral degree,A humanities discipline,300000,AUD,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,9,9,0.7669
United States,Female,25,Employed full-time,Academic,Doctoral degree,Electrical Engineering,30000,USD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,10 - Highly Satisfied,10,1
Czech Republic,Male,25,"Independent contractor, freelancer, or self-employed",Internet-based,Master's degree,Computer Science,36000,USD,Software Developer/Software Engineer,Fine,SQL,Sort of (Explain more),10-25% of projects,6,6,1
United States,Male,31,Employed full-time,Academic,Doctoral degree,Physics,49000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,3,3,1
Russia,Male,22,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Computer Science,18000,USD,Other,Fine,Python,Yes,51-75% of projects,7,7,1
United States,Female,31,Employed full-time,Pharmaceutical,Bachelor's degree,Other,65000,USD,Data Analyst,Fine,Python,No,26-50% of projects,1 - Highly Dissatisfied,1,1
Mexico,Male,21,Employed full-time,Academic,Bachelor's degree,Other,30000,MXN,Engineer,Fine,Other,Sort of (Explain more),10-25% of projects,6,6,0.053
United States,Male,27,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,115000,USD,Software Developer/Software Engineer,Fine,Python,Yes,Less than 10% of projects,7,7,1
United States,Male,57,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Other,40000,USD,Predictive Modeler,Poorly,R,Sort of (Explain more),51-75% of projects,9,9,1
United States,A different identity,37,Employed full-time,Technology,Master's degree,Computer Science,135000,USD,Software Developer/Software Engineer,Fine,C/C++/C#,Yes,100% of projects,6,6,1
United States,Female,25,Employed full-time,Academic,Master's degree,Mathematics or statistics,50000,USD,Data Analyst,Perfectly,Python,No,76-99% of projects,6,6,1
United States,Male,29,Employed full-time,Financial,Bachelor's degree,Computer Science,470000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10,1
Italy,Male,32,Employed full-time,Other,Master's degree,Mathematics or statistics,40000,EUR,Other,Fine,Matlab,Yes,76-99% of projects,4,4,1.1304
France,Male,53,"Independent contractor, freelancer, or self-employed",Pharmaceutical,Master's degree,Mathematics or statistics,60000,EUR,Statistician,Fine,R,No,76-99% of projects,10 - Highly Satisfied,10,1.1304
United Kingdom,Male,31,Employed full-time,Academic,Master's degree,Computer Science,31000,GBP,Scientist/Researcher,Poorly,Python,Sort of (Explain more),76-99% of projects,8,8,1.289
Ukraine,Male,22,Employed full-time,Financial,Master's degree,Mathematics or statistics,17200,USD,Data Analyst,Fine,Python,No,10-25% of projects,3,3,1
Portugal,Male,29,Employed full-time,Academic,Doctoral degree,Computer Science,12000,EUR,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,7,7,1.1304
United States,Female,48,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),130000,USD,Predictive Modeler,Fine,Python,Yes,Less than 10% of projects,6,6,1
United States,Male,47,Employed full-time,Technology,Bachelor's degree,Computer Science,178000,USD,Other,Fine,Python,No,10-25% of projects,9,9,1
Brazil,Male,24,Employed part-time,Mix of fields,Bachelor's degree,Engineering (non-computer focused),24000,BRL,Engineer,Fine,Python,Sort of (Explain more),100% of projects,7,7,0.3134
United States,Male,40,Employed full-time,Technology,Doctoral degree,Computer Science,150000,USD,DBA/Database Engineer,Fine,Python,No,10-25% of projects,6,6,1
United States,Male,25,Employed full-time,Technology,Master's degree,Biology,85000,USD,Other,Perfectly,Python,Yes,51-75% of projects,9,9,1
United States,Male,56,Employed full-time,Manufacturing,Bachelor's degree,Engineering (non-computer focused),107000,USD,Business Analyst,Poorly,Python,No,26-50% of projects,1 - Highly Dissatisfied,1,1
United States,Male,24,Employed full-time,Military/Security,Bachelor's degree,Electrical Engineering,67500,USD,Engineer,Fine,Matlab,Yes,26-50% of projects,7,7,1
Canada,Male,24,Employed full-time,Mix of fields,Bachelor's degree,A social science,75000,CAD,Business Analyst,Fine,Python,Sort of (Explain more),100% of projects,6,6,0.7713
India,Male,47,"Independent contractor, freelancer, or self-employed",Academic,Doctoral degree,Mathematics or statistics,1200000,INR,Statistician,Fine,R,Yes,10-25% of projects,5,5,0.0154
United Kingdom,Male,24,Employed full-time,Technology,Master's degree,Electrical Engineering,42000,GBP,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,6,6,1.289
United States,Male,23,Employed full-time,Financial,Bachelor's degree,Other,58000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,4,4,1
United States,Male,23,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,100000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,7,7,1
Other,Male,25,Employed full-time,Internet-based,Bachelor's degree,Engineering (non-computer focused),25000,USD,Business Analyst,Fine,Python,Yes,10-25% of projects,8,8,1
United States,Male,35,Employed full-time,Technology,Master's degree,Computer Science,60000,USD,Other,Fine,Python,No,100% of projects,8,8,1
People 's Republic of China,Male,28,Employed full-time,Pharmaceutical,Master's degree,A health science,180000,CNY,Data Analyst,Fine,R,Yes,100% of projects,3,3,0.148
United States,Male,40,Employed full-time,Financial,Master's degree,Physics,125000,USD,Software Developer/Software Engineer,Fine,Scala,No,26-50% of projects,3,3,1
Portugal,Male,27,Employed full-time,Manufacturing,Master's degree,Computer Science,17000,EUR,Programmer,Perfectly,R,Yes,76-99% of projects,4,4,1.1304
United States,Male,36,Employed full-time,Internet-based,Master's degree,A humanities discipline,70000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,4,4,1
People 's Republic of China,Male,28,Employed full-time,Technology,Bachelor's degree,Computer Science,300000,CNY,DBA/Database Engineer,Fine,Python,Yes,51-75% of projects,4,4,0.148
Brazil,Male,26,Employed full-time,Technology,Bachelor's degree,Computer Science,24000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,4,4,0.3134
Russia,Male,30,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,65000,USD,Machine Learning Engineer,Perfectly,Python,Yes,26-50% of projects,10 - Highly Satisfied,10,1
United States,Male,26,Employed full-time,Other,Bachelor's degree,A humanities discipline,35000,USD,Business Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,6,6,1
United States,Male,28,Employed full-time,Pharmaceutical,Doctoral degree,Physics,121000,USD,Scientist/Researcher,Perfectly,Python,Yes,26-50% of projects,8,8,1
South Korea,Male,53,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,80000,USD,Researcher,Fine,Python,Yes,Less than 10% of projects,8,8,1
Australia,Male,36,Employed full-time,Other,Bachelor's degree,"Information technology, networking, or system administration",150000,AUD,Business Analyst,Fine,Python,No,26-50% of projects,8,8,0.7669
Canada,Male,60,Employed full-time,Academic,Doctoral degree,Computer Science,200000,CAD,Researcher,Fine,R,Yes,None,10 - Highly Satisfied,10,0.7713
Australia,Female,23,Employed full-time,Financial,Bachelor's degree,Other,78000,AUD,Data Analyst,Poorly,SQL,No,Less than 10% of projects,2,2,0.7669
Colombia,Male,29,Employed full-time,Financial,Master's degree,Mathematics or statistics,80000000,COP,Data Analyst,Fine,R,No,76-99% of projects,8,8,3e-4
Japan,Male,37,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),8000000,JPY,Software Developer/Software Engineer,Fine,Python,No,100% of projects,7,7,0.0089
United States,Male,41,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,80000,USD,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),10-25% of projects,7,7,1
Taiwan,Male,30,Employed full-time,Government,Bachelor's degree,Management information systems,800000,TWD,Other,Fine,Python,No,Less than 10% of projects,4,4,0.0329
United States,Female,42,Employed full-time,Telecommunications,Bachelor's degree,A humanities discipline,75000,USD,Data Analyst,Fine,Python,Sort of (Explain more),None,1 - Highly Dissatisfied,1,1
Other,Male,27,Employed full-time,Internet-based,Bachelor's degree,Computer Science,50000,USD,Machine Learning Engineer,Fine,Python,Yes,76-99% of projects,8,8,1
United States,Male,47,Employed full-time,Internet-based,Bachelor's degree,Other,165000,USD,Software Developer/Software Engineer,Fine,Scala,Sort of (Explain more),Less than 10% of projects,3,3,1
United States,Male,28,Employed full-time,Government,Master's degree,Fine arts or performing arts,85000,USD,Business Analyst,Fine,Python,Sort of (Explain more),100% of projects,7,7,1
Ireland,Male,42,Employed full-time,Retail,Master's degree,Engineering (non-computer focused),100000,EUR,DBA/Database Engineer,Perfectly,SQL,No,100% of projects,7,7,1.1304
United States,Male,41,Employed full-time,Internet-based,Master's degree,Psychology,200000,USD,Other,Fine,Python,Yes,Less than 10% of projects,9,9,1
United States,Female,43,Employed full-time,Insurance,Bachelor's degree,A social science,80000,USD,Data Analyst,Fine,SQL,No,Less than 10% of projects,8,8,1
Canada,Male,23,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,70000,CAD,Other,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10,0.7713
United States,Male,25,Employed full-time,Technology,Master's degree,Computer Science,95000,USD,Computer Scientist,Fine,Python,No,51-75% of projects,9,9,1
United States,Male,32,Employed part-time,Academic,Doctoral degree,Physics,47000,USD,Scientist/Researcher,Perfectly,Python,No,51-75% of projects,8,8,1
United States,Male,37,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,255000,USD,Other,Fine,Python,Yes,100% of projects,1 - Highly Dissatisfied,1,1
United States,Male,29,Employed full-time,Government,Master's degree,Mathematics or statistics,90000,USD,Operations Research Practitioner,Fine,Python,Yes,76-99% of projects,5,5,1
United States,Male,32,Employed full-time,Government,Master's degree,"Information technology, networking, or system administration",80000,USD,Operations Research Practitioner,Perfectly,Python,Sort of (Explain more),51-75% of projects,9,9,1
Colombia,Male,30,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Computer Science,36000000,COP,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,7,7,3e-4
People 's Republic of China,Male,31,Employed full-time,Technology,Bachelor's degree,Computer Science,250000,CNY,Machine Learning Engineer,Fine,Python,No,76-99% of projects,7,7,0.148
United States,Male,31,Employed full-time,Technology,Master's degree,A humanities discipline,190000,USD,Business Analyst,Poorly,R,Sort of (Explain more),51-75% of projects,9,9,1
Malaysia,Male,34,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,77000,USD,Other,Fine,Python,Sort of (Explain more),None,2,2,1
