Country,Gender,Age,Major,FormalEducation,CompensationAmount,CompensationCurrency,LanguageRecommendation
United States,Male,56,Mathematics or statistics,Master's degree,250000,USD,Python
Russia,Male,33,Other,Bachelor's degree,1200000,RUB,Python
Taiwan,Male,26,Computer Science,Master's degree,1100000,TWD,Python
United States,Male,25,Physics,Bachelor's degree,20000,USD,Python
United States,Male,33,Electrical Engineering,Doctoral degree,100000,USD,Matlab
Russia,Male,22,"Information technology, networking, or system administration",Bachelor's degree,624000,RUB,Python
Poland,Male,29,Computer Science,Master's degree,126000,PLN,Python
United States,Male,35,Physics,Doctoral degree,133000,USD,Python
Sweden,Male,37,Electrical Engineering,Master's degree,80000,USD,Python
Australia,Male,36,"Information technology, networking, or system administration",Master's degree,80000,AUD,C/C++/C#
India,Male,34,Computer Science,Master's degree,2300000,INR,SQL
Poland,Male,27,Other,Master's degree,84000,PLN,Python
People 's Republic of China,Male,41,Other,Bachelor's degree,300000,CNY,R
Mexico,Male,54,Electrical Engineering,Master's degree,100000,MXN,R
Russia,Male,22,Computer Science,Bachelor's degree,528000,RUB,Haskell
People 's Republic of China,Male,28,Computer Science,Master's degree,70000,USD,Python
India,Male,24,Electrical Engineering,Master's degree,1150000,INR,Python
Russia,Male,34,Computer Science,Some college/university study without earning a bachelor's degree,1500000,RUB,Python
United Kingdom,Male,23,Biology,Bachelor's degree,25000,GBP,R
Spain,Female,61,Mathematics or statistics,Doctoral degree,72000,EUR,Python
Russia,Male,22,Computer Science,Master's degree,70000,RUB,R
United Kingdom,Male,60,A humanities discipline,Bachelor's degree,55000,GBP,Python
Other,Male,49,Engineering (non-computer focused),Master's degree,20000,USD,Python
France,Female,38,Electrical Engineering,Doctoral degree,53000,EUR,Python
Australia,Male,28,Mathematics or statistics,Master's degree,135000,AUD,Python
Other,A different identity,99,"Information technology, networking, or system administration",Bachelor's degree,15000,EUR,SQL
India,Male,23,Electrical Engineering,Bachelor's degree,67000,INR,Python
India,Male,26,Electrical Engineering,Doctoral degree,336000,INR,Python
France,Male,39,Physics,Master's degree,110000,EUR,Python
Other,Male,34,Mathematics or statistics,Master's degree,100000,EUR,C/C++/C#
Italy,Male,35,Biology,Doctoral degree,30000,EUR,Python
People 's Republic of China,Male,33,"Information technology, networking, or system administration",Bachelor's degree,200000,CNY,SQL
Italy,Male,22,Computer Science,Bachelor's degree,10000,EUR,Python
Australia,Male,50,"Information technology, networking, or system administration",Bachelor's degree,100000,AUD,R
South Africa,Female,37,Mathematics or statistics,Master's degree,600000,ZAR,R
France,Male,35,Engineering (non-computer focused),Master's degree,80000,EUR,Python
India,Male,27,Engineering (non-computer focused),Bachelor's degree,600000,INR,Python
Russia,Male,27,Mathematics or statistics,Bachelor's degree,5000,USD,C/C++/C#
India,Male,23,Computer Science,Bachelor's degree,400000,INR,Python
Other,Male,32,Computer Science,Master's degree,1200000,RUB,Python
