Decision,Gender,Dept
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
